DATE,OPEN,HIGH,LOW,PREV. CLOSE,VOLUME,VALUE,NO OF TRADES,CLOSE 
03-01-2022,1887.75,1914.05,1887.75,1887.75,3329616,6342326138,128107,1898.45
04-01-2022,1898.45,1906.65,1878,1898.45,3921999,7408140297,120603,1899.15
05-01-2022,1900,1902.9,1840,1899.15,6995719,12994844600,289755,1844.65
06-01-2022,1828,1828,1800,1844.65,6449205,11686479371,232721,1817.8
07-01-2022,1815.45,1836,1806.8,1817.8,4834389,8791606623,148117,1814.3
10-01-2022,1815,1869.9,1813,1814.3,7857560,14554564594,227924,1850.75
11-01-2022,1855,1870,1850.15,1850.75,5142287,9564958557,189308,1855.6
12-01-2022,1868.9,1889,1860,1855.6,5362535,10050718588,195948,1877.45
13-01-2022,1905,1912.5,1866.35,1877.45,14277630,27044612998,390078,1896.8
14-01-2022,1882,1933,1881,1896.8,7688506,14706988627,225842,1929.35
17-01-2022,1938.55,1953.9,1930.5,1929.35,5262464,10216874399,177946,1939.5
18-01-2022,1922.1,1945,1911.45,1939.5,3690315,7100450832,209492,1920.75
19-01-2022,1916,1916,1862.85,1920.75,5747770,10805850966,177957,1867.05
20-01-2022,1844,1848,1815.5,1867.05,5533463,10114140157,267078,1823.7
21-01-2022,1795,1808,1776,1823.7,8252758,14765723987,363701,1785.7
24-01-2022,1765,1768.65,1728,1785.7,7116712,12414981413,261123,1736.8
25-01-2022,1726.6,1740,1700.5,1736.8,9137653,15710645707,370958,1722.15
27-01-2022,1702,1709.7,1665,1722.15,11231734,18884048987,495160,1678.6
28-01-2022,1681,1727.55,1679.5,1678.6,10998502,18711813889,336935,1686.2
31-01-2022,1718,1749.5,1715.35,1686.2,8788872,15264864509,313682,1736.2
01-02-2022,1766.1,1780,1734.7,1736.2,5119935,9046788138,186159,1772.05
02-02-2022,1789,1792.8,1772,1772.05,4253717,7595951820,146941,1787.1
03-02-2022,1779,1779,1734,1787.1,3832922,6727366646,183506,1738.55
04-02-2022,1732,1753.95,1710.15,1738.55,4700077,8160294996,193857,1741.1
07-02-2022,1722.2,1732,1695.4,1741.1,4310209,7389275044,254813,1715
08-02-2022,1710,1725,1696,1715,6053401,10363805940,222044,1717.3
09-02-2022,1735,1743,1725,1717.3,3867244,6713900255,178730,1737.3
10-02-2022,1755.65,1773.9,1748.75,1737.3,4334630,7631331627,206904,1769.6
11-02-2022,1740,1745.95,1713,1769.6,7551371,12993527942,430200,1721.35
14-02-2022,1690,1718.55,1678.25,1721.35,7459637,12670785136,280769,1682.2
15-02-2022,1699,1746.75,1690.45,1682.2,4669915,8040412171,188794,1738.25
16-02-2022,1738.25,1755.45,1726.85,1738.25,5350642,9314065943,162198,1733.3
17-02-2022,1744,1749,1720.3,1733.3,3937950,6818374504,110732,1724.8
18-02-2022,1710,1722.5,1703.5,1724.8,5602215,9590289596,159019,1706.95
21-02-2022,1701,1737.3,1691.5,1706.95,5120890,8797869134,205567,1730.7
22-02-2022,1699.9,1751,1691.05,1730.7,8878515,15281431405,227885,1734.35
23-02-2022,1750,1758.25,1733.4,1734.35,5478811,9547154732,191067,1742.85
24-02-2022,1690.1,1714.95,1670.5,1742.85,13592379,22970021734,376409,1678.15
25-02-2022,1715,1728.15,1677,1678.15,9737281,16543242534,305050,1694.6
28-02-2022,1682.2,1728.05,1665,1694.6,15076542,25772414335,330427,1715.6
02-03-2022,1710,1714.4,1691,1715.6,6771489,11532701359,301403,1702.8
03-03-2022,1720.2,1733.9,1705.55,1702.8,7344147,12652331996,262571,1720.85
04-03-2022,1695.25,1736,1681,1720.85,9074499,15558102518,317226,1723.3
07-03-2022,1697,1751,1696,1723.3,9742588,16894926798,317768,1739.85
